Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
0,0,0,Year-->,All,All,All,All,All,All,All,All,All,All,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench
0,0,0,0,Used (1 or 0)All,Unit tagAll,Yearly demand (kg fuel)All,Produced fromAll,El balanceAll,Heat balanceAll,Process heat balanceAll,H2 balanceAll,CSP balanceAll,Max CapacityAll,Fuel production rate (kg output/kg input)2030 bench,Heat generated (kWh/output)2030 bench,Process heat generated (kWh/output)2030 bench,Load min (% of max capacity)2030 bench,Ramp up (% of capacity /h)2030 bench,Ramp down (% of capacity /h)2030 bench,Electrical consumption (kWh/output)2030 bench,Investment (EUR/Capacity installed)2030 bench,Fixed cost (EUR/Capacity installed/y)2030 bench,Variable cost (EUR/Output)2030 bench,Fuel selling price (EUR/output)2030 bench,Fuel buying price (EUR/output)2030 bench,CO2e infrastructure (kg CO2e/Capacity/y)2030 bench,CO2e process (kg CO2e/output)2030 bench,Land use (m2/Capacity)2030 bench,Annuity factor2030 bench
0,0,0,Line/Column index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product,NoSubset,Biogas w H2,0,0,Biogas w H2,Based on Biogasplan2023.,Product/Reactant13,0,0,0,0,0,0,Based on Moioli2022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Based on ENS2014. Average price level of biogas.,0,0,0,0
Reactant14,NoSubset,Biogas wo H2,0,0,Biogas wo H2,Based on Biogasplan2023.,-,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Based on ENS2014. Average price level of biogas.,0,0,0,0
Product,Min_demand_MainFuel,NH3 plant + ASU - AEC,0,0,NH3-AEC,0,Reactant9,0,0,0,0,0,0,Based on MMZCS2023,0,0,Based on MMZCS2023,Based on MMZCS2023,Based on MMZCS2023,Based on MMZCS2023,For a large-scale 95 t$_{NH_3}$/h plant capacity based on MMZCS2023 (includes ASU),4% Capex based on MMZCS2023,0,0,0,0,0,0,0.0
Product/Reactant3,PWL,Electrolysers 75AEC-25SOEC_A,0,0,H2_from_AEC_SOEC_A,0,Reactant11,0,0,0,0,0,0,Consumption of non-purified water assuming a purification efficieny of 80% based on BhmWP12023. Conversion of purified water to hydrogen is stoichiometric (9 kg of water consumed per kg of hydrogen).,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Reactant2,NoSubset,H2 pipeline to MeOH CCU plant,0,0,H2_pipeline_to_MeOHCCU_plant,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Reactant5,NoSubset,H2 pipeline to Bamboo-2,0,0,H2_pipeline_to_Bamboo-2,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Reactant10,NoSubset,H2 pipeline to client,0,0,H2_pipeline_to_client,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
